[002] U     14930.885626:      52545                0 
[001] U     14930.886566:      42938                0 
[000] U     14930.887415:      52124                0 
[003] K     14930.893013:      91455                0 
[000] U     14930.898057:      45943                0 
[002] U     14930.898322:      44862                0 
[001] K     14930.903228:      42938                0 
[000] U     14930.905861:      49573                0 
[003] U     14930.906222:      91455                0 
[002] U     14930.910055:      40927                0 
[001] U     14930.914540:      42938                0 
[000] K     14930.914694:      46984                0 
[001] U     14930.918879:      42938                0 
[002] K     14930.919663:      38919                0 
[000] K     14930.919839:      53790                0 
[000] U     14930.930157:      61904                0 
[003] U     14930.930450:     123735                0 
[002] U     14930.932487:      40473                0 
[001] U     14930.935472:      91001                0 
[002] K     14930.937598:      39766                0 
[002] U     14930.947880:      48390                0 
[000] K     14930.950942:      64455                0 
[001] K     14930.951046:      86573                0 
[002] U     14930.957952:      51129                0 
[003] K     14930.959107:     125925                0 
[000] K     14930.961068:      48762                0 
[001] U     14930.965624:      72582                0 
[002] U     14930.969634:      51592                0 
[000] U     14930.970207:      43233                0 
[001] U     14930.975526:      59367                0 
[003] U     14930.977518:      89587                0 
[002] K     14930.980853:      50361                0 
[000] U     14930.985937:      48966                0 
[001] U     14930.986356:      61141                0 
[003] K     14930.993014:      80460                0 
[002] U     14930.995455:      51361                0 
[000] K     14930.995840:      41371                0 
[001] U     14931.005461:      54165                0 
[002] K     14931.007395:      44405                0 
[000] U     14931.008176:      42809                0 
[003] K     14931.011571:      72738                0 
[000] U     14931.015978:      34473                0 
[001] U     14931.017087:      49267                0 
[002] U     14931.018179:      36858                0 
[000] K     14931.020794:      35716                0 
[003] K     14931.023211:      62397                0 
[000] U     14931.025875:      45753                0 
[002] U     14931.027436:      36709                0 
[001] U     14931.028533:      49267                0 
[002] U     14931.036484:      38648                0 
[000] K     14931.037170:      52953                0 
[003] U     14931.037573:      63637                0 
[002] U     14931.048276:      40762                0 
[001] K     14931.050857:      57823                0 
[000] U     14931.051082:      58397                0 
[003] U     14931.052932:      55628                0 
[002] U     14931.056858:      35450                0 
[003] K     14931.059466:      51151                0 
[000] U     14931.061053:      55786                0 
[001] U     14931.065439:      57823                0 
[002] U     14931.066527:      34379                0 
[000] U     14931.068531:      56160                0 
[002] U     14931.073981:      37383                0 
[003] U     14931.074404:      51267                0 
[000] U     14931.075998:      54687                0 
[000] U     14931.085549:      60220                0 
[001] U     14931.085710:      92817                0 
